relative_path,source_seconds,separator_start,separator_end,output_seconds_target,source_bytes,output_bytes,status
p/pool.mp3,2.350000,0.535510,1.708299,0.635510,9631,2943,silence_separator
p/poor.mp3,2.300000,0.531701,1.681043,0.631701,9422,2943,silence_separator
p/pop.mp3,2.170000,0.486939,1.616508,0.586939,8899,2734,silence_separator
p/pope.mp3,2.120000,0.436780,1.580499,0.536780,8690,2525,silence_separator
p/popular.mp3,2.740000,0.746667,1.911020,0.846667,11197,3779,silence_separator
p/population.mp3,3.290000,1.031338,2.151746,1.131338,13392,4928,silence_separator
p/porch.mp3,2.530000,0.655465,1.781451,0.755465,10362,3361,silence_separator
p/pore.mp3,2.380000,0.563764,1.713469,0.663764,9735,3048,silence_separator
p/pork.mp3,2.480000,0.626667,1.772063,0.726667,10153,3257,silence_separator
p/porridge.mp3,2.590000,0.683673,1.815646,0.783673,10571,3466,silence_separator
p/port.mp3,2.460000,0.608889,1.753696,0.708889,10048,3257,silence_separator
p/portable.mp3,2.640000,0.674195,1.854694,0.774195,10780,3466,silence_separator
p/porter.mp3,2.430000,0.579728,1.752154,0.679728,9944,3048,silence_separator
p/portion.mp3,2.770000,0.768345,1.900408,0.868345,11302,3884,silence_separator
p/portrait.mp3,2.720000,0.749252,1.880907,0.849252,11093,3779,silence_separator
p/portray.mp3,2.740000,0.765805,1.893651,0.865805,11197,3883,silence_separator
p/portugal.mp3,2.900000,0.810431,1.987211,0.910431,11825,3988,silence_separator
p/portuguese.mp3,3.210000,0.978458,2.124036,1.078458,13079,4719,silence_separator
p/pose.mp3,2.320000,0.581270,1.652381,0.681270,9526,3047,silence_separator
p/position.mp3,2.850000,0.822993,1.933787,0.922993,11615,4092,silence_separator
p/positive.mp3,2.900000,0.847891,1.966259,0.947891,11824,4197,silence_separator
p/possess.mp3,2.800000,0.784172,1.909342,0.884172,11406,3883,silence_separator
p/possession.mp3,2.870000,0.827846,1.946213,0.927846,11720,4092,silence_separator
p/possibility.mp3,3.320000,1.029206,2.187392,1.129206,13496,4928,silence_separator
p/possible.mp3,2.770000,0.747256,1.919773,0.847256,11302,3779,silence_separator
p/possibly.mp3,2.930000,0.838821,1.999773,0.938821,11929,4092,silence_separator
p/post.mp3,2.350000,0.553152,1.680952,0.653152,9631,2943,silence_separator
p/postage.mp3,2.980000,0.886259,2.013469,0.986259,12138,4301,silence_separator
p/poster.mp3,2.720000,0.738005,1.892971,0.838005,11093,3674,silence_separator
p/postman.mp3,2.740000,0.755601,1.893469,0.855601,11197,3779,silence_separator
p/postpone.mp3,2.980000,0.886893,2.008662,0.986893,12138,4301,silence_separator
p/postulate.mp3,2.950000,0.871111,1.999274,0.971111,12033,4301,silence_separator
p/pot.mp3,2.380000,0.579320,1.699637,0.679320,9735,3047,silence_separator
p/potato.mp3,2.900000,0.832200,1.982132,0.932200,11824,4092,silence_separator
p/potential.mp3,3.000000,0.873107,2.040272,0.973107,12242,4301,silence_separator
p/pound.mp3,2.320000,0.552925,1.683628,0.652925,9526,2943,silence_separator
p/pour.mp3,2.380000,0.563764,1.713469,0.663764,9735,3048,silence_separator
p/poverty.mp3,2.690000,0.723719,1.882630,0.823719,10988,3674,silence_separator
p/powder.mp3,2.400000,0.580907,1.727029,0.680907,9839,3047,silence_separator
p/power.mp3,2.400000,0.582948,1.729025,0.682948,9839,3152,silence_separator
p/powerful.mp3,2.820000,0.785850,1.954059,0.885850,11511,3883,silence_separator
p/practicable.mp3,3.130000,0.929751,2.097415,1.029751,12765,4511,silence_separator
p/practical.mp3,2.900000,0.801633,1.976190,0.901633,11825,3988,silence_separator
p/practically.mp3,3.080000,0.898685,2.068662,0.998685,12556,4406,silence_separator
p/practice.mp3,2.950000,0.856372,2.006712,0.956372,12034,4197,silence_separator
p/practise.mp3,2.950000,0.856372,2.006712,0.956372,12034,4197,silence_separator
p/praise.mp3,2.560000,0.664671,1.799637,0.764671,10466,3466,silence_separator
p/pray.mp3,2.320000,0.554286,1.688345,0.654286,9526,2943,silence_separator
p/prayer.mp3,2.350000,0.563447,1.705986,0.663447,9630,3047,silence_separator
p/preach.mp3,2.460000,0.635283,1.748844,0.735283,10048,3361,silence_separator
p/precaution.mp3,3.000000,0.893605,2.005125,0.993605,12242,4301,silence_separator
p/precede.mp3,2.740000,0.757823,1.895147,0.857823,11197,3779,silence_separator
p/preceding.mp3,2.850000,0.822630,1.952290,0.922630,11615,4092,silence_separator
p/precious.mp3,2.800000,0.790522,1.920635,0.890522,11406,3988,silence_separator
p/precipitate.mp3,3.190000,0.987211,2.115238,1.087211,12974,4719,silence_separator
p/precise.mp3,3.000000,0.887619,2.015510,0.987619,12242,4301,silence_separator
p/precision.mp3,2.820000,0.800635,1.916508,0.900635,11511,3988,silence_separator
p/preclude.mp3,2.770000,0.777551,1.906712,0.877551,11302,3883,silence_separator
p/predecessor.mp3,3.160000,0.952925,2.115828,1.052925,12869,4615,silence_separator
p/predict.mp3,2.610000,0.689388,1.818322,0.789388,10675,3570,silence_separator
p/predominant.mp3,3.130000,0.958639,2.085986,1.058639,12765,4615,silence_separator
p/preface.mp3,2.740000,0.757007,1.893197,0.857007,11197,3779,silence_separator
p/prefer.mp3,2.610000,0.692744,1.829615,0.792744,10675,3570,silence_separator
p/preferable.mp3,2.740000,0.736372,1.903946,0.836372,11198,3675,silence_separator
p/preference.mp3,2.980000,0.869252,2.011655,0.969252,12138,4301,silence_separator
p/pregnant.mp3,2.720000,0.755601,1.879456,0.855601,11093,3779,silence_separator
p/prejudice.mp3,3.030000,0.890839,2.039048,0.990839,12347,4301,silence_separator
p/preliminary.mp3,3.270000,1.006984,2.151837,1.106984,13287,4823,silence_separator
p/premature.mp3,3.060000,0.894376,2.056961,0.994376,12451,4301,silence_separator
p/premier.mp3,2.610000,0.680544,1.830975,0.780544,10675,3465,silence_separator
p/premise.mp3,2.590000,0.675873,1.813333,0.775873,10571,3466,silence_separator
p/premium.mp3,2.690000,0.719184,1.855737,0.819184,10989,3675,silence_separator
p/preparation.mp3,3.160000,0.977098,2.099864,1.077098,12869,4719,silence_separator
p/prepare.mp3,2.640000,0.707302,1.836145,0.807302,10779,3570,silence_separator
p/preposition.mp3,3.160000,0.985170,2.102086,1.085170,12869,4719,silence_separator
p/prescribe.mp3,2.690000,0.737642,1.856961,0.837642,10988,3674,silence_separator
p/prescription.mp3,3.110000,0.949615,2.062268,1.049615,12660,4615,silence_separator
p/presence.mp3,2.820000,0.780680,1.928980,0.880680,11511,3884,silence_separator
p/present.mp3,2.660000,0.728118,1.850023,0.828118,10884,3674,silence_separator
p/presentation.mp3,3.470000,1.131202,2.247029,1.231202,14123,5346,silence_separator
p/presently.mp3,2.850000,0.793243,1.946304,0.893243,11616,3988,silence_separator
p/preserve.mp3,2.590000,0.709388,1.809977,0.809388,10570,3570,silence_separator
p/preside.mp3,2.690000,0.738413,1.869887,0.838413,10988,3779,silence_separator
p/president.mp3,2.820000,0.810023,1.937687,0.910023,11511,3988,silence_separator
p/press.mp3,2.530000,0.658866,1.793787,0.758866,10361,3361,silence_separator
p/pressure.mp3,2.530000,0.637188,1.783311,0.737188,10362,3361,silence_separator
p/prestige.mp3,2.930000,0.891973,1.937868,0.991973,11929,4301,silence_separator
p/presumably.mp3,3.160000,0.955692,2.116236,1.055692,12869,4615,silence_separator
p/presume.mp3,2.610000,0.699320,1.819637,0.799320,10675,3570,silence_separator
p/pretend.mp3,2.690000,0.724626,1.862857,0.824626,10988,3674,silence_separator
p/pretext.mp3,3.060000,0.914150,2.040227,1.014150,12451,4406,silence_separator
p/pretty.mp3,2.320000,0.543265,1.703401,0.643265,9526,2943,silence_separator
p/prevail.mp3,2.610000,0.684898,1.835374,0.784898,10675,3465,silence_separator
p/prevalent.mp3,2.850000,0.804308,1.939048,0.904308,11615,3988,silence_separator
p/prevent.mp3,2.690000,0.727800,1.861224,0.827800,10988,3674,silence_separator
p/previous.mp3,2.930000,0.844535,1.990703,0.944535,11929,4197,silence_separator
p/previously.mp3,3.190000,0.955465,2.125714,1.055465,12974,4615,silence_separator
p/prey.mp3,2.320000,0.554286,1.688345,0.654286,9526,2943,silence_separator
p/price.mp3,2.610000,0.679909,1.824399,0.779909,10675,3466,silence_separator
p/pride.mp3,2.380000,0.565714,1.710431,0.665714,9735,3048,silence_separator
p/priest.mp3,2.430000,0.607664,1.732925,0.707664,9943,3256,silence_separator
